SIRET;SIREN;NOMEN;NOMET;ETAT;CJ;SIEGE;PUB_PRIV;NATURE;DC;Libelle commune;DEP;REG;APET;A88;A17;EMPLOYEUR;Tranche d'effectif;latitude;longitude;result_label;result_score;result_score_next;result_type;result_id;result_housenumber;result_name;result_street;result_postcode;result_city;result_context;result_citycode;result_oldcitycode;result_oldcity;result_district;result_status
11000029600217;110000296;CONSEIL SUPERIEUR DE L'AUDIOVISUEL;COMITE TERRITORIAL DE L'AUDIOVISUEL DE C;1;7112;0;PUBLIC;1;14118;Caen;14;28;8411Z;84;OQ;1;de 1 à 10 salariés;49.184316;-0.37193;Caen;0.37823487603305783;0.34485779220779217;municipality;14118;;Caen;;14000;Caen;14, Calvados, Normandie;14118;;;;ok
11000601276540;110006012;MINISTERE EUROPE AFFAIRES ETRANGERES;;1;7113;0;PUBLIC;1;76540;Rouen;76;28;8411Z;84;OQ;1;de 1 à 10 salariés;49.440044;1.093912;Rouen;0.4611640495867768;0.35640090909090905;municipality;76540;;Rouen;;76000;Rouen;76, Seine-Maritime, Normandie;76540;;;;ok
11001401650502;110014016;MINISTERE DE L'INTERIEUR;;1;7113;0;PUBLIC;1;50502;Saint-Lo;50;28;8411Z;84;OQ;1;de 1 à 10 salariés;49.113958;-1.080464;Saint-Lô;0.41020946127946123;0.3918117647058823;municipality;50502;;Saint-Lô;;50000;Saint-Lô;50, Manche, Normandie;50502;;;;ok
11001401661001;110014016;MINISTERE DE L'INTERIEUR;;1;7113;0;PUBLIC;1;61001;Alen‡on;61;28;8411Z;84;OQ;1;de 1 à 10 salariés;50.737671;1.607681;Allée Prud Hon 62200 Boulogne-sur-Mer;0.19696105651105653;0.14753782369146004;street;62160_2852;;Allée Prud Hon;Allée Prud Hon;62200;Boulogne-sur-Mer;62, Pas-de-Calais, Hauts-de-France;62160;;;;ok
11001401676540;110014016;MINISTERE DE L'INTERIEUR;;1;7113;0;PUBLIC;1;76540;Rouen;76;28;8411Z;84;OQ;1;de 1 à 10 salariés;49.737916;0.42504;Rue de Rouen 76400 Toussaint;0.35710871473354233;0.35097121212121213;street;76708_9nnqrq;;Rue de Rouen;Rue de Rouen;76400;Toussaint;76, Seine-Maritime, Normandie;76708;;;;ok
11007001814118;110070018;MINISTERE AGRICULTURE ALIMENTATION;;1;7113;0;PUBLIC;1;14118;Caen;14;28;8411Z;84;OQ;1;de 1 à 10 salariés;49.184316;-0.37193;Caen;0.37823487603305783;0.34485779220779217;municipality;14118;;Caen;;14000;Caen;14, Calvados, Normandie;14118;;;;ok
12002001100181;120020011;DRH MINISTERES ECONOMIQUES FINANCIERS;DELEGATION DEP DE L ACTION SOCIALE;1;7120;0;PUBLIC;1;27229;Evreux;27;28;8411Z;84;OQ;1;de 1 à 10 salariés;49.020599;1.146898;Évreux;0.42268151515151514;0.3835475862068965;municipality;27229;;Évreux;;27000;Évreux;27, Eure, Normandie;27229;;;;ok
12002001100876;120020011;DRH MINISTERES ECONOMIQUES FINANCIERS;DELEGATION DEP DE L'ACTION SOCIALE;1;7120;0;PUBLIC;1;61001;Alen‡on;61;28;8411Z;84;OQ;1;de 1 à 10 salariés;50.737671;1.607681;Allée Prud Hon 62200 Boulogne-sur-Mer;0.22630858585858585;0.14753782369146004;street;62160_2852;;Allée Prud Hon;Allée Prud Hon;62200;Boulogne-sur-Mer;62, Pas-de-Calais, Hauts-de-France;62160;;;;ok
12002001101825;120020011;DRH MINISTERES ECONOMIQUES FINANCIERS;DELEGATION DEP DE L ACTION SOCIALE;1;7120;0;PUBLIC;1;14118;Caen;14;28;8411Z;84;OQ;1;de 1 à 10 salariés;49.184316;-0.37193;Caen;0.37823487603305783;0.34485779220779217;municipality;14118;;Caen;;14000;Caen;14, Calvados, Normandie;14118;;;;ok
12002001101999;120020011;DRH MINISTERES ECONOMIQUES FINANCIERS;DELEGATION DEP DE L'ACTION SOCIALE;1;7120;0;PUBLIC;1;76540;Rouen;76;28;8411Z;84;OQ;1;de 11 à 49 salariés;49.440044;1.093912;Rouen;0.4036721343873518;0.33138545454545454;municipality;76540;;Rouen;;76000;Rouen;76, Seine-Maritime, Normandie;76540;;;;ok
12002001102724;120020011;DRH MINISTERES ECONOMIQUES FINANCIERS;DELEGATION DEP DE L'ACTION SOCIALE;1;7120;0;PUBLIC;1;50502;Saint-Lo;50;28;8411Z;84;OQ;1;de 1 à 10 salariés;49.113958;-1.080464;Saint-Lô;0.4594195104895105;0.4358154545454545;municipality;50502;;Saint-Lô;;50000;Saint-Lô;50, Manche, Normandie;50502;;;;ok
12002701600456;120027016;INS NAT STATISTIQUE ETUDES ECONOMIQUES;DIR REG NORMANDIE SITE DE ROUEN;1;7120;0;PUBLIC;1;76540;Rouen;76;28;8411Z;84;OQ;1;de 50 à 299 salariés;49.440044;1.093912;Rouen;0.35097121212121213;0.3335724046920821;municipality;76540;;Rouen;;76000;Rouen;76, Seine-Maritime, Normandie;76540;;;;ok
12002701600514;120027016;INS NAT STATISTIQUE ETUDES ECONOMIQUES;DIR REG NORMANDIE SIEGE DE CAEN;1;7120;0;PUBLIC;1;14118;Caen;14;28;8411Z;84;OQ;1;de 50 à 299 salariés;48.898289;-0.200129;Rue de Caen 14700 Falaise;0.3422323376623376;0.3292987012987013;street;14258_0150;;Rue de Caen;Rue de Caen;14700;Falaise;14, Calvados, Normandie;14258;;;;ok
12004614901187;120046149;DIRECTION GENERALE DES PATRIMOINES;SCE DEP ARCHITECTURE ET PATRIMOINE;1;7120;0;PUBLIC;1;14118;Caen;14;28;8412Z;84;OQ;1;de 11 à 49 salariés;49.184316;-0.37193;Caen;0.3243362055335969;0.3138590909090909;municipality;14118;;Caen;;14000;Caen;14, Calvados, Normandie;14118;;;;ok
12006402700309;120064027;DIRECTION SERVICES NAVIGATION AERIENNE;SNA-N - OC - ROUEN;1;7160;0;PUBLIC;1;76116;Boos;76;28;8413Z;84;OQ;1;de 11 à 49 salariés;49.684637;0.554655;Route de Boos 76640 Terres-de-Caux;0.3165636363636363;0.309378023715415;street;76258_0774;;Route de Boos;Route de Boos;76640;Terres-de-Caux;76, Seine-Maritime, Normandie;76258;76078;Bennetot;;ok
12006402700846;120064027;DIRECTION SERVICES NAVIGATION AERIENNE;SNA-O - ANTENNE DE CAEN-CARPIQUET;1;7160;0;PUBLIC;1;14137;Carpiquet;14;28;8413Z;84;OQ;1;de 11 à 49 salariés;49.186339;-0.410755;Chemin de Carpiquet 14000 Caen;0.4043417171717172;0.3764339498432601;street;14118_1394;;Chemin de Carpiquet;Chemin de Carpiquet;14000;Caen;14, Calvados, Normandie;14118;;;;ok
12006402700853;120064027;DIRECTION SERVICES NAVIGATION AERIENNE;SNA-O - ANTENNE DE DEAUVILLE-SAINT GATIE;1;7160;0;PUBLIC;1;14578;Saint-Gatien-des-Bois;14;28;8413Z;84;OQ;1;de 11 à 49 salariés;49.341508;0.180588;Saint-Gatien-des-Bois;0.537740554323725;0.4351520583190394;municipality;14578;;Saint-Gatien-des-Bois;;14130;Saint-Gatien-des-Bois;14, Calvados, Normandie;14578;;;;ok
13000169600017;130001696;DIR INTERDEP ROUTES NORD-OUEST;;1;7172;1;PUBLIC;1;76540;Rouen;76;28;8413Z;84;OQ;1;de 50 à 299 salariés;49.440044;1.093912;Rouen;0.4036721343873518;0.33138545454545454;municipality;76540;;Rouen;;76000;Rouen;76, Seine-Maritime, Normandie;76540;;;;ok
